repository,url,description,created_date,last_modified,stars,forks,solution_type,solution_marketing,technical_competencies,solution_competencies,deployment_tools,deployment_level,primary_language,additional_languages,frameworks,aws_services,prerequisites,license,copyright_holder,commercial_use,setup_time,cost_range,customer_problems,usp,freshness_status,days_since_update,genai_agentic,topics,classification_method,classification_timestamp
awslabs/aws_lambda_sample_events_python,https://github.com/awslabs/aws_lambda_sample_events_python,A Python module for creating sample events to test AWS Lambda functions. ,2016-04-02T21:37:38Z,2024-09-23T02:16:33Z,57,22,Foundation Builders,assessment,Modern Application Development,Cross-Industry,"SAM, CloudFormation",Basic Setup,Python,"JavaScript, Shell","AWS Lambda, AWS SAM",Lambda,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,396,No,,S3-Based Complete Analysis,2025-10-24T13:21:58.075576
awslabs/amazon-redshift-monitoring,https://github.com/awslabs/amazon-redshift-monitoring,Amazon Redshift Advanced Monitoring,2016-04-04T17:53:08Z,2025-09-13T06:13:25Z,272,94,Operational Excellence,visibility,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,Redshift,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Monitoring Blindness, Manual Operations, System Downtime",Reliable AWS solution,Active,41,No,,S3-Based Complete Analysis,2025-10-24T13:21:58.075623
awslabs/ecs-refarch-service-discovery,https://github.com/awslabs/ecs-refarch-service-discovery,"An EC2 Container Service Reference Architecture for providing Service Discovery to containers using CloudWatch Events, Lambda and Route 53 private hosted zones. ",2016-04-04T20:00:00Z,2025-03-13T17:30:03Z,444,80,Innovation Catalysts,innovation,"Machine Learning, Data & Analytics",Cross-Industry,"CloudFormation, Scripts",Basic Setup,Go,"Python, JavaScript",AWS Lambda,Lambda,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"AI Implementation Complexity, Slow Time-to-Market, Competitive Disadvantage",Reliable AWS solution,Maintained,224,Yes,,S3-Based Complete Analysis,2025-10-24T13:21:58.075669
awslabs/aws-config-to-elasticsearch,https://github.com/awslabs/aws-config-to-elasticsearch,Generates an AWS Config Snapshot and ingests it into ElasticSearch for further analysis using Kibana ,2016-04-27T18:19:17Z,2024-12-11T11:51:34Z,71,31,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Maintained,317,No,"amazon, analysis, aws, aws-config, aws-s3, config, elasticsearch, elasticsearch-node, ingests, kibana",S3-Based Complete Analysis,2025-10-24T13:21:58.075732
awslabs/amazon-ecr-credential-helper,https://github.com/awslabs/amazon-ecr-credential-helper,Automatically gets credentials for Amazon ECR on docker push/docker pull,2016-05-23T20:01:21Z,2025-10-24T09:21:04Z,2659,347,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Go,"Python, JavaScript",Docker,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Half-day Setup (1-4 hours),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Popular community solution (2659+ stars),Active,0,No,,S3-Based Complete Analysis,2025-10-24T13:21:58.075775
awslabs/ec2-classic-mirror,https://github.com/awslabs/ec2-classic-mirror,ClassicLink Mirror is an automation tool that assists with an in-progress migration of your EC2 resources from EC2-Classic to a VPC.,2016-05-25T19:34:02Z,2024-06-25T18:32:50Z,6,3,Foundation Builders,improvement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,JavaScript,"TypeScript, Python",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Minimal (< $10/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,485,No,,S3-Based Complete Analysis,2025-10-24T13:21:58.075815
awslabs/aws-iot-fuse,https://github.com/awslabs/aws-iot-fuse,A FUSE filesystem to interact with AWS IoT service. ,2016-06-07T16:38:09Z,2025-03-25T18:24:02Z,17,8,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Java,"Python, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Maintained,212,No,,S3-Based Complete Analysis,2025-10-24T13:21:58.075860
awslabs/ecs-refarch-continuous-deployment,https://github.com/awslabs/ecs-refarch-continuous-deployment,ECS Reference Architecture for creating a flexible and scalable deployment pipeline to Amazon ECS using AWS CodePipeline,2016-06-18T06:38:15Z,2025-08-27T12:09:38Z,855,988,Foundation Builders,setup,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Shell,"Python, JavaScript",Docker,ECS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,58,No,"aws, continuous-deployment, devops, docker, ec2, ecs, fargate",S3-Based Complete Analysis,2025-10-24T13:21:58.075900
awslabs/aws-transit-vpc,https://github.com/awslabs/aws-transit-vpc,,2016-07-14T20:48:39Z,2024-01-13T23:55:34Z,77,60,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,649,No,,S3-Based Complete Analysis,2025-10-24T13:21:58.588341
awslabs/amazon-inspector-finding-forwarder,https://github.com/awslabs/amazon-inspector-finding-forwarder,Python scripts to run in AWS Lambda to process findings from Amazon Inspector,2016-07-16T02:36:58Z,2024-08-01T10:28:45Z,39,16,Foundation Builders,enablement,Modern Application Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS Lambda,Lambda,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,449,No,,S3-Based Complete Analysis,2025-10-24T13:21:58.588664
awslabs/amazon-inspector-auto-remediate,https://github.com/awslabs/amazon-inspector-auto-remediate,Lambda job in Python to automatically patch EC2 instances when an inspector assessment generates a CVE finding,2016-07-29T16:55:11Z,2025-09-13T15:52:50Z,60,35,Foundation Builders,assessment,Modern Application Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS Lambda,Lambda,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,40,No,,S3-Based Complete Analysis,2025-10-24T13:21:58.588724
awslabs/ecs-secrets,https://github.com/awslabs/ecs-secrets,Runtime secrets management solution for ECS using Task IAM Roles,2016-08-05T22:55:17Z,2024-08-30T06:33:35Z,177,21,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Go,"Python, JavaScript",Docker,"ECS, IAM","AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,420,No,"docker, ecs, secret-management",S3-Based Complete Analysis,2025-10-24T13:21:58.588780
awslabs/rds-support-tools,https://github.com/awslabs/rds-support-tools,"Amazon RDS Support Tools contains utilities, sql, scripts and views which are useful in a RDS environment",2016-08-08T18:35:34Z,2025-10-07T16:12:21Z,227,228,Innovation Catalysts,enablement,"Machine Learning, Data & Analytics",Cross-Industry,"CloudFormation, Scripts",Basic Setup,Shell,"Python, JavaScript",AWS SDK,RDS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Minimal (< $10/month),"AI Implementation Complexity, Slow Time-to-Market, Competitive Disadvantage",Reliable AWS solution,Active,16,Yes,,S3-Based Complete Analysis,2025-10-24T13:21:58.588820
awslabs/aws-dx-monitor,https://github.com/awslabs/aws-dx-monitor,Simple AWS Direct Connect monitoring with Amazon CloudWatch.,2016-08-15T22:49:57Z,2025-02-28T07:38:28Z,60,33,Operational Excellence,visibility,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Minimal (< $10/month),"Monitoring Blindness, Manual Operations, System Downtime",Reliable AWS solution,Maintained,238,No,,S3-Based Complete Analysis,2025-10-24T13:21:58.588857
awslabs/amazon-inspector-agent-autodeploy,https://github.com/awslabs/amazon-inspector-agent-autodeploy,Lambda job in Python to automatically deploy Inspector agent to newly-launched EC2 instances,2016-08-16T20:43:58Z,2025-06-04T21:06:35Z,29,21,Innovation Catalysts,innovation,Modern Application Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS Lambda,Lambda,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"AI Implementation Complexity, Slow Time-to-Market, Competitive Disadvantage",Reliable AWS solution,Maintained,141,Yes,,S3-Based Complete Analysis,2025-10-24T13:21:58.588901
awslabs/emr-dynamodb-connector,https://github.com/awslabs/emr-dynamodb-connector,Implementations of open source Apache Hadoop/Hive interfaces which allow for ingesting data from Amazon DynamoDB,2016-08-17T22:43:06Z,2025-08-29T01:09:21Z,228,140,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Java,"Python, Shell",AWS SDK,DynamoDB,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,56,No,,S3-Based Complete Analysis,2025-10-24T13:21:58.588956
awslabs/dynamodb-continuous-backup,https://github.com/awslabs/dynamodb-continuous-backup,Continuous backup automation for Amazon DynamoDB,2016-09-27T00:43:39Z,2025-06-26T13:32:45Z,182,27,Foundation Builders,readiness,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,DynamoDB,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Maintained,119,No,,S3-Based Complete Analysis,2025-10-24T13:21:58.588994
awslabs/cloudwatch-api-tracker,https://github.com/awslabs/cloudwatch-api-tracker,This application (in the form of a lambda function) will publish CloudWatch metrics based on API usage. It listens to a CloudWatch Log Stream that is associated with a CloudTrail log and publishes metrics in specified batches.,2016-09-28T18:35:46Z,2024-04-08T21:31:49Z,31,17,Innovation Catalysts,visibility,"Machine Learning, Data & Analytics",Cross-Industry,"CloudFormation, Scripts",Basic Setup,JavaScript,"TypeScript, Python",AWS Lambda,Lambda,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"AI Implementation Complexity, Slow Time-to-Market, Competitive Disadvantage",Reliable AWS solution,Stale,563,Yes,,S3-Based Complete Analysis,2025-10-24T13:21:58.589036
awslabs/aws-ms-deploy-assistant,https://github.com/awslabs/aws-ms-deploy-assistant,The AWS Deployment Assistance for Microsoft Developer Platform enables integration of the AWS CodePipeline and CodeDeploy Services into the Visual Studio or Team Foundation Server build process,2016-10-06T22:22:27Z,2023-10-26T23:27:27Z,9,7,Foundation Builders,setup,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,JavaScript,"TypeScript, Python",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,728,No,,S3-Based Complete Analysis,2025-10-24T13:21:58.589074
awslabs/ec2-migrate-longer-id,https://github.com/awslabs/ec2-migrate-longer-id,The code opts the entire account in to the longer id format for ec2 resources in each region with a single request. It will also print status and revert to shorter ids in case of problems. ,2016-10-07T18:22:30Z,2022-02-06T16:22:15Z,12,8,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,1355,No,,S3-Based Complete Analysis,2025-10-24T13:21:58.589137
awslabs/cwe-monitor-secgrp,https://github.com/awslabs/cwe-monitor-secgrp,This CloudWatch Events rule Lambda function evaluates AWS API calls that change Amazon EC2 security group ingress rules. The function flags rules that violate a preconfigured policy. ,2016-10-13T17:26:19Z,2024-07-17T02:01:32Z,25,26,Compliance Accelerators,compliance,"Security, Compliance",Cross-Industry,"CloudFormation, Scripts",Basic Setup,Python,"JavaScript, Shell",AWS Lambda,Lambda,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Security Gaps, Compliance Burden, Audit Failures",Reliable AWS solution,Stale,464,No,,S3-Based Complete Analysis,2025-10-24T13:21:58.589170
awslabs/ecs-swift-sample-app,https://github.com/awslabs/ecs-swift-sample-app,,2016-10-28T18:39:34Z,2024-07-16T20:38:12Z,10,8,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Swift,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Stale,464,No,,S3-Based Complete Analysis,2025-10-24T13:21:59.109716
awslabs/lambda-refarch-mapreduce,https://github.com/awslabs/lambda-refarch-mapreduce,This repo presents a reference architecture for running serverless MapReduce jobs. This has been implemented using AWS Lambda and Amazon S3.,2016-10-31T21:06:56Z,2025-09-14T16:14:10Z,426,76,Foundation Builders,enablement,Modern Application Development,Cross-Industry,"SAM, CloudFormation",Basic Setup,JavaScript,"TypeScript, Python",AWS Lambda,"Lambda, S3","AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,39,No,,S3-Based Complete Analysis,2025-10-24T13:21:59.110030
awslabs/statelint,https://github.com/awslabs/statelint,A Ruby gem that provides a command-line validator for Amazon States Language JSON files. ,2016-11-02T18:00:33Z,2025-09-23T12:45:34Z,351,46,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Ruby,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,31,No,,S3-Based Complete Analysis,2025-10-24T13:21:59.110086
awslabs/j2119,https://github.com/awslabs/j2119,A general-purpose validator generator that uses RFC2119-style assertions as input.,2016-11-02T19:39:57Z,2025-04-14T03:46:17Z,11,7,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Ruby,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Maintained,193,No,,S3-Based Complete Analysis,2025-10-24T13:21:59.110136
awslabs/ec2-fleet-compare,https://github.com/awslabs/ec2-fleet-compare,A small command line utility to find the most effective EC2 instances that match a set of requirements.,2016-11-04T22:55:30Z,2025-10-09T00:13:40Z,29,16,Foundation Builders,enablement,General Development,Cross-Industry,"CloudFormation, Scripts",Basic Setup,Go,"Python, JavaScript",AWS SDK,General AWS,"AWS Account, IAM Permissions",Apache License 2.0,"Amazon Web Services, Inc.",Allowed,Quick Setup (< 1 hour),Low ($10-100/month),"Infrastructure Complexity, Scalability Issues, Technical Debt",Reliable AWS solution,Active,15,No,,S3-Based Complete Analysis,2025-10-24T13:21:59.110182
